,English_corrected_title,telugu_corrected_title,School Code
23,"GOVT HS(B) IST LANCER, FIRST LANCER","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) ఫస్ట్ లాన్సర్, ఫస్ట్ లాన్సర్, ఆసిఫ్ నగర్",36050991428
24,TSMS MANCHERIAL," తెలంగాణ మోడల్ పాఠశాల, మంచిర్యాల్      ",36013302246
25,"RAINBOW HSCHOOL, CHANDOLAL BARADARI","రెయిన్ బో ఉన్నత పాఠశాల, చందోలాల్ బరదరి  ",36051191910
26,"SARASWATHI VIDYANIKETHAN , PATEL NAGAR","సరస్వతి విద్యానికేతన్ పాఠశాల, పటేల్ నగర్  ",36050490712
27,"MADARSA ANWAR UL HARMAIN, BAHADURPURA","మదరసా  అన్వర్ ఉల్ హర్మెన్ పాఠశాల, బహదూర్‌పుర       ",36051192135
28,"GOVT HS(B)MISARAM, BARKAS","ప్రభుత్వ ఉన్నత పాఠశాల, మైసారం, బార్కస్    ",36051292072
29,GUPS BRAHMAN WADA,"ప్రభుత్వ ప్రాథమికోన్నత పాఠశాల, బ్రాహ్మణ్ వాడ , ఆదిలాబాద్         ",36010390141
30,"GOVT HS(B)OLDMALAKPET, OLDMALAKPET","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) ఓల్డ్ మలక్ పేట్, ఓల్డ్ మలక్ పేట్  ",36050490701
31,KAKATIYA TECH MEDARIPET,"కాకతీయ టెక్ పాఠశాల, మేదరిపేట్       ",36013101107
32,"SRI SARASWATHI VIDYAMANDI, KESHAVANAGAR","శ్రీ సరస్వతి విద్యామందిర్ పాఠశాల, కేశవ నగర్   ",36050891206
33,ISLAMIA ADILABAD,"ఇస్లామియా పాఠశాల, ఆదిలాబాద్    ",36010395129
34,"GOVT PS(B)MOGHALPURA II, MOGHALPURA-II","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు), మొఘల్ పుర II , మొఘల్ పుర II    ",36051690131
35,"GOVT PS(B)MALLEPALLY II, ZEBABAGH,D-CLASS","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలురు) మల్లేపల్లి II, జెబబాగ్, డి -క్లాస్  ",36050990120
36,"ST FRANCIS CONVENT P, TMC, MAHENDRA HILLS","సెయింట్ ఫ్రాన్సిస్ కాన్వెంట్ ప్రాథమిక పాఠశాల, టి.ఎం.సి. మహేంద్ర హిల్స్, సికింద్రాబాద్    ",36050390113
37,TSSWRS GIRLS DPIP JAM," తెలంగాణ సాంఘీక సంక్షేమ పాఠశాల (బాలికలు, డిపిఐపి) జామ్, సారంగపుర్     ",36011300908
38,"PEOPLES HS(AIDED), HIMAYATNAGAR (MANDAL)","ప్యూపిల్స్ ఉన్నత పాఠశాల (ఎయిడెడ్), హిమాయత్ నగర్     ",36050590197
39,VISHVASHANTI VIDYANIKETAN,"విశ్వశాంతి విద్యానికేతన్ పాఠశాల, ధర్మారావు పేట్  ",36013500505
40,Govt.AHS GIRLS MANCHERIAL," ఆశ్రమ ఉన్నత పాఠశాల, మంచిర్యాల్   ",36013302220
41,"PARAMAHANSA VIDYA NIKETAN, RAHIMPURA","పరమహంస విద్యా నికేతన్ పాఠశాల, రహీమ్ పుర ",36050991469
42,"GOVT PS(B) EDIBZR, KUMAR WADI COLONY","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు), ఈది బజార్,  కుమార్ వాడి కాలనీ   ",36051290169
43,APS NARSAPUR G," ఆశ్రమ ప్రాథమిక పాఠశాల, నర్సాపూర్ జి",36012001311
44,"GOVT PS(B)LALAGUDANO I, ADDAGUTTA","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు), లాలాగూడ నెంబర్ I, అడ్డగుట్ట  ",36050390117
45,"SRI MAHATHI VIDANIKET, KAWADIGUDA, MUSHEERABAD","శ్రీ మహతి విద్యానికేత్ పాఠశాల, కవాడిగూడ, ముషీరాబాద్      ",36051492451
46,"TAKSHASHILA GRAMMAR P S, SHIVAJI NAGR","తక్షశిల గ్రామర్ ప్రాథమిక పాఠశాల, శివాజీనగర్  ",36051292018
47,"GOVT HS(B)KACHIGUDA, -BARKATPURA","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు), కాచిగూడ, బర్కత్ పుర  ",36050590191
48,"GOVT HS(B)GOSHAKUT, H.No.12-1-57","ప్రభుత్వ ఉన్నత పాఠశాల(బాలురు) గోషాకుట్, H.No.12-1-57, అసిఫ్ నగర్   ",36050991439
49,GYANODYA V MUDHOLE,"జ్ఞానోదయ ప్రాథమికోన్నత పాఠశాల, ముధోల్    ",36011801707
50,"ARYA VIDYA KANDRA P S, HAMAM BOULI","ఆర్య విద్యా కేంద్ర ప్రాథమిక పాఠశాల, హమాం బౌలి  ",36051292019
51,"TSSWREIS RMSJC FOR GIRLS MAHENDRA HILL, SECUNDERABAD","తెలంగాణ సాంఘీక సంక్షేమ ఉన్నత పాఠశాల (బాలికలు), మహేంద్ర హిల్స్, సికింద్రాబాద్    ",36050390606
52,JYOTHI B P V BEJJUR,"జ్యోతి  బి. పి. వి. ప్రాథమికోన్నత పాఠశాల,  బెజ్జూర్  ",36014702013
53,SRI V G THIMMAPUR,"శ్రీ వి. జి. ప్రాథమికోన్నత పాఠశాల, తిమ్మాపూర్",36012402805
54,"SRI SHANTINIKETAN PRIMARY, BAGH AMBERPET","శ్రీ శాంతినికేతన్ ప్రాథమిక పాఠశాల, బాగ్ అంబర్‌పేట్",36050490155
55,SRI GNANADAYINI VM PONKAL,"శ్రీ జ్ఞాన దాయని విద్యామందిర్ పాఠశాల, పొంకల్    ",36012303008
56,ANNAPURNA VIDYANIKETAN,"అన్నపూర్ణ విద్యానికేతన్ పాఠశాల, రెబ్బాన  ",36014001406
57,SHANTHINIKETAN V KUNTALA,"శాంతినికేతన్  ప్రాథమికోన్నత పాఠశాల, వి. కుంటాల",36011401308
58,"GOVT PS(B) DOBIGALLI, AMBERPET","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు) దోబి గల్లీ, అంబర్‌పేట",36050490105
59,CRESCENT E M ADILABAD,"క్రీసెంట్ ఉన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), ఆదిలాబాద్   ",36010395108
60,AHS CHANDPALLE," ఆశ్రమ ఉన్నత పాఠశాల, చందపల్లె    ",36010503105
61,AHS KOTAPALLI,"ఆశ్రమ ఉన్నత పాఠశాల, కోటపల్లి",36015000906
62,ZPHS SANGIDI,"జిల్లా పరిషత్ ఉన్నత పాఠశాల, సంగిడి  ",36010300203
63,"GOVT PS(B)2ND LANCER, LANGER HOUSE","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు) 2 వ లాన్సర్, లంగర్ హౌస్    ",36051590126
64,"SRI SARASWATHI SISHUMANDIR, GIRAKAPALLY","శ్రీ సరస్వతి శిశుమందిర్ పాఠశాల, గిరికపల్లి  ",36050990180
65,"GOVT HS(B)FOR BLIND DARULSHIFA, DARULSHIFA","ప్రభుత్వ  ఉన్నత పాఠశాల అందుల (బాలురు), దారుల్ షిఫా  ",36051191994
66,CARMEL GIRI CONVENT DEVAPUR,"కార్మెల్ గిరి కాన్వెంట్ ప్రాథమిక పాఠశాల, దేవాపూర్",36013501022
67,TSTWRJC (G) ASIFABAD,"తెలంగాణ గిరిజన సంక్షేమ గురుకుల ఉన్నత పాఠశాల (బాలికలు),  అసిఫాబాద్   ",36013790229
68,SRI SARASWATHI SHISHU MAN,"శ్రీ సరస్వతి శిశుమందిర్ పాఠశాల, కుబీర్  ",36011501803
69,"ST .PAULS HIGH SCHOIOL HYDERGUDA, HYDERGUDA","సెయింట్ పాల్స్ ఉన్నత పాఠశాల హైదర్ గూడ, హైదర్ గూడ   ",36050590828
70,"GOVT PS(G) T.D SINGH, H B NAGAR","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలికలు) టి.డి.సింగ్, హెచ్.బి. నగర్, బండ్ల గూడ   ",36051290145
71,EDEN GARDEN(EM) SIRPUR,"ఈడెన్ గార్డెన్ ( ఇంగ్లీష్ మీడియం) పాఠశాల, సిర్పూర్  ",36014501225
72,"MUFEEDUL ANAM HS(B) AIDED, ETEBAR CHOWK","ముఫీడుల్ అనం పాఠశాల ఉన్నత పాఠశాల (బాలురు) ఎయిడెడ్ ,ఈతేబార్ చౌక్, బహదూర్‌పుర         ",36051191878
73,TSSWREIS & JC (G) LEFT POCHAMPAD,"తెలంగాణ  సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), లెఫ్ట్ పోచంపాడ్       ",36012103902
74,SRI SARASWATHI SHISHU MANDIR PHULE NAGAR,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, ఫూలే నగర్    ",36011690442
75,"PRABODH HS(G) AIDED, RAHIMPURA","ప్రబోధ్ ఉన్నత పాఠశాల (బాలికలు) ఎయిడెడ్, రహీమ్ పుర  ",36050991451
76,"NARAYANA CONCEPT P S, L G LOWER ,STREET NO 8","నారాయణ కాన్సెప్ట్ ప్రాథమిక పాఠశాల, ఎల్. జి.లోయర్ టవర్స్, స్ట్రీట్ నెంబర్ 8, వెస్ట్ మారెడ్ పల్లి   ",36050390269
77,"OWAIS CENTURY,","ఒవైసి సెంచరీ ఉన్నత పాఠశాల, అంబర్‌పేట  ",36050490812
78,"GOVT HS(G)HYDERGUDA, BESIDE C D R HOSPATAL","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు), సి.డి.ఆర్ హాస్పిటల్, హైదర్ ",36050590189
79,St. VINCENT H S,"సెయింట్ విన్సెన్ట్ ఉన్నత పాఠశాల, బెల్లంపల్లి    ",36014290364
80,SRI SHARADA V.N WANKIDI,"శ్రీ శారద విద్యానికేతన్ పాఠశాల, వాంకిడి   ",36013801508
81,"AUST HIGH S,","ఆస్ట్ ఉన్నత పాఠశాల, మారెడ్ పల్లి, సికింద్రాబాద్      ",36050390677
82,TWPS NERADIPALLI,"ప్రభుత్వ  గిరిజన సంక్షేమ ప్రాథమిక పాఠశాల, నేరెడిపల్లి    ",36011401505
83,"SWAMY VIVEKANANDA VIDYA , NEW ASHOK NAGAR","స్వామి వివేకానంద విద్యా మందిర్ పాఠశాల, న్యూ అశోక్ నగర్, హైదరాబాద్    ",36051492346
84,GEETANJALI VIYALAYAM,"గీతాంజలి విద్యాలయం పాఠశాల, ధర్మరా      ",36011902605
85,"SRI SAI VIGNANA VARDHANI , TURAB NAGAR","శ్రీ సాయి విజ్ఞాన వర్ధని పాఠశాల, తురాబ్ నగర్",36050490190
86,SARASWATHI GV E/M UTNOOR,"సరస్వతి జి.వి. ప్రాథమికోన్నత (ఇంగ్లీష్ మీడియం) పాఠశాల, ఉట్నూర్  ",36012602955
87,SRI SARASWATHI SHISH,"శ్రీ సరస్వతి శిశు మందిర్ ప్రాథమిక పాఠశాల, పర్ది  ",36011501503
88,AHS BABAPUR," ఆశ్రమ ఉన్నత పాఠశాల, బాబాపుర్  ",36014602104
89,"ST. JOHNS UPEER PRIMARY, HABEEBNAGAR","సెయింట్ జాన్స్ ప్రాథమికోన్నత పాఠశాల, హబీబ్ నగర్    ",36051292058
90,"GOVT HS(B)MOGALPURA NO II, MOGHAL PURA-NO.2","ఉన్నత పాఠశాల (బాలురు) , మొఘల్ పుర నెంబర్ II , మొఘల్ పుర, నెంబర్,2",36051692646
91,"GOVT HS(B) DARULULOOM, DARUL ULOOM","ఉన్నత పాఠశాల (బాలురు) దారుల్ ఉలూమ్, దారుల్ఉలూమ్     ",36051191866
92,NARAYANA MEMORIAL (EM),"నారాయణ మెమోరియల్ పాఠశాల, (ఇంగ్లీష్ మీడియం), లోహెస్రా    ",36011901809
93,"GOVT HS(G)HUSSAINIALAM, INSIDE PANNI PURA KARWAN","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు), హుస్సేని ఆలం, పన్నిపుర కార్వాన్       ",36050991573
94,TSMS BANGARIGUDA ADILABAD,"తెలంగాణ మోడల్ పాఠశాల, బంగారిగూడ, ఆదిలాబాద్  ",36010301807
95,SRI SARASWATHI SM CHENNUR,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, చెన్నూరు",36015101026
96,"VIDYA VATIKA TALENT , YOUSUF GUDA","విద్యా వాటిక టాలెంట్ పాఠశాల, యూసఫ్ గూడ  ",36050891248
97,"GOVT PS(B)DAREECHEBAWAHE, KISHAN BAGH","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలురు), దరీచెబావాహే, కిషన్ బాగ్ ",36051190199
98,SVSVM WADDYAL,"ఎస్. వి. ఎస్. వి.ఎం. ప్రాథమికోన్నత పాఠశాల, వడ్యాల్  ",36012200106
99,VASAVI VIDYANIKETAN BOATH,"వాసవి విద్యానికేతన్ పాఠశాల, బోత్  ",36011102726
100,CREATIVE ENGLISH MEDIUM MANCHERIAL,"క్రియేటివ్ ఇంగ్లీష్ మీడియం పాఠశాల, మంచిర్యాల్  ",36013390988
101,"GOVT HS(G)MAJEEDIA, MAJEEDIA","ప్రభుత్వ ఉన్నత పాఠశాల మజీడియా, మజీడియా, ఆసిఫ్‌నగర్ ",36050991427
102,NAUNIHAL ADILABAD,"నౌనిహాల్  పాఠశాల, ఆదిలాబాద్      ",36010395128
103,NEW PRAGATHI --E M,"న్యూ ప్రగతి ఉన్నత పాఠశాల(ఇంగ్లీష్ మీడియం), ఆదిలాబాద్    ",36010395174
104,"SRI SATYA SAI VIDYA VIHAR, BAGH AMBERPET","శ్రీ సత్య సాయి విద్యా విహార్ పాఠశాల, బాగ్ అంబర్‌పేట్",36050490731
105,CHAITANYA BHARATI E/M,"చైతన్య భారతి ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), రెబ్బన్‌పల్లి",36013102308
106,"SAROJINI NAIDU MEMORIAL , SEESHACHALA COLONY","సరోజినీ నాయుడు మెమోరియల్ పాఠశాల, శేషాచల కాలనీ, వెస్ట్ మారెడ్ పల్లి    ",36050390614
107,GEETANJALI VIYALAYAM,"గీతాంజలి విద్యాలయం పాఠశాల, ధర్మారం   ",36011902605
108,DAWN(EM)H.S CCC 'X' ROAD TEEGALPAHAD,"డాన్ (ఇంగ్లీష్ మీడియం) ఉన్నత పాఠశాల, సి. సి. సి .'ఎక్స్' రోడ్ , తీగల్ పహాడ్    ",36013391527
109,VASISTHA V CHENNUR,"వశిష్ఠ వి  ప్రాథమికోన్నత పాఠశాల, చెన్నూర్    ",36015101034
110,LITTLE FLOWER EM TIMMAPUR,"లిటిల్  ఫ్లవర్ పాఠశాల (ఇంగ్లీష్ మీడియం), తిమ్మాపూర్ ",36012402806
111,WISDOM (EM)UPS,"విస్డం ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), కాశిపేట్     ",36013502113
112,KERALA MODEL EM PONKAL,"కేరళ మోడల్ ప్రాథమికోన్నత పాఠశాల, (ఇంగ్లీష్ మీడియం), పొంకల్  ",36012303009
113,AHS DEVAPUR,"ఆశ్రమ ఉన్నత పాఠశాల, దేవాపూర్",36013501014
114,AHS MALKEPALLY,"ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, మల్కేపల్లి  ",36013500602
115,"GOVT HS(B)DAREECHEMATA, DABEER PURA OUTSIDE","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) దరీచెమట, డబీర్ పుర అవుట్ సైడ్   ",36051692645
116,S S V M WADDUR,"ఎస్. ఎస్. వి. ఎం. ప్రాథమికోన్నత పాఠశాల, వడ్డూరు",36011202910
117,SRI RAJA RAJESHWARA VIDYA,"శ్రీ రాజ రాజేశ్వర విద్యా ఉన్నత పాఠశాల, వెంకటరావు పేట ",36013200810
118,AHS HASNAPUR,"ఆశ్రమ ఉన్నత పాఠశాల, హస్నాపూర్  ",36012600608
119,"PADMAJA PRIYADARSHIN, HUPPUGUDA","పద్మజా ప్రియదర్శిన్ ప్రాథమికోన్నత పాఠశాల, హుప్పుగూడ",36051292125
120,"GUPS WARD No 14, W.No.17, KAGAZNAGAR","ప్రభుత్వ ప్రాథమికోన్నత పాఠశాల, వార్డ్ నెంబర్ 14 & 17, కాగజ్ నగర్     ",36013990624
121,SUFFAH CONVENT E/M S MANCHERIAL,"సుఫ్ఫా కాన్వెంట్ (ఇంగ్లీష్ మీడియం) పాఠశాల, మంచిర్యాల్  ",36013390987
122,"THE GABERIAL CO-ED ACADEMIC, GHANSI BAZAR","ది గాబ్రియేల్ కో-ఎడ్యుకేషనల్ ఆకాడమి, ఘాన్సీ బజార్, హైదరాబాద్  ",36051191747
123,"VIVEKKANANDA P S, JOURNALIST COLONY","వివేకానంద ప్రాథమిక పాఠశాల, జర్నలిస్ట్ కాలనీ, ఖైరతాబాద్, హైదరాబాద్  ",36050891115
124,SRI VIGNAN CONCEPT SH GUNDAMPALLY,"శ్రీ విజ్ఞాన్ కాన్సెప్ట్ ప్రాథమికోన్నత పాఠశాల, ఎస్. హెచ్. గుండంపల్లి  ",36012001805
125,AHS GIRLS GINNEDHARI,"ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), గిన్నెధారి  ",36013602106
126,"SARADA VIDYA NIKETAN HIGH, WARD NO 9, LANGER HOUSE","శారద విద్యా నికేతన్ ఉన్నత పాఠశాల, వార్డ్ నెంబర్ 9, లంగర్ హౌస్, హైదరాబాద్  ",36051590192
127,S S P S NERADIGONDA,"ఎస్. ఎస్.పి.ఎస్. ప్రాథమికోన్నత పాఠశాల, నేరడిగొండ   ",36011202415
128,SRI SARASWATHI SHISHU VIDYA MANDIR,"శ్రీ సరస్వతి శిశు విద్యా మందిర్ పాఠశాల, వడ్యాల్  ",36012200107
129,"BHAVANA VIDYA NIKETAN, ENGINEERS COLONY","భావన  విద్యా నికేతన్ పాఠశాల, ఇంజనీర్స్ కాలనీ, అమీర్ పేట్    ",36050190156
130,"KISHORE KUNJ H,S QUDRI , QADRI BAGH","కిషోర్ కుంజ్ ఉన్నత పాఠశాల కుద్రి, కాద్రిబాగ్, అంబర్ పేట్           ",36050490730
131,"GOVT HS(B)MOGALPURA, MOGHALPURA","ప్రభుత్వ ఉన్నత పాఠశాల మొఘల్‌పుర, మొఘల్‌పుర",36051191859
132,AHS GIRLS MADAGUDA," ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), మదగూడ    ",36011001504
133,AHS CHENNUR," ఆశ్రమ ఉన్నత పాఠశాల, చెన్నూరు",36015101021
134,SRI VASARA SSM OLA,"శ్రీ వాసర ఎస్. ఎస్ .ఎం. ప్రాథమిక పాఠశాల, ఓల  ",36011401404
135,AHS GIRLS KESLAPUR," ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), కెస్లాపూర్",36010701502
136,TSMS BAZAR HATHNOOR,"తెలంగాణ మోడల్ పాఠశాల, హత్నూరు  ",36011002410
137,"GOVT PS(G)FALUKNUMA, QUADICHAMAN ROAD","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలికలు) , కాదిచమన్ రోడ్, ఫలక్ నుమా     ",36051290103
138,"ST.CHRISTLOPHERS CONVENT, V R COLONY","సెయింట్  క్రిస్ట్లోఫర్స్  కాన్వెంట్ పాఠశాల, వి. ఆర్. కాలనీ, ఖైరతాబాద్    ",36050891102
139,"NEW KHULQ BOYS TOWN PRIMARY, KAGAZIGUDA","న్యూ ఖుల్క్ బాయ్స్ టౌన్ ప్రాథమిక పాఠశాల, కాగజిగూడ  ",36050990173
140,"VIDYA BHARATHI HSCHOOL, KISHAN BAGH","విద్యా భారతి ఉన్నత పాఠశాల, కిషన్ బాగ్, బహదూర్‌పుర    ",36051191912
141,SHANTHINIKETHAN VIDYAMANDIR E/M,"శాంతినికేతన్ విద్యామందిర్ ప్రాథమికోన్నత పాఠశాల(ఇంగ్లీష్ మీడియం), కలమడగు  ",36013001708
142,"SRI VENKATARAMANA UPPER P, RAJIV GANDHI NAGAR","శ్రీ వెంకటరమణ ప్రాథమికోన్నత పాఠశాల,  రాజీవ్ గాంధీ నగర్, బండ్ల గూడ  ",36051292052
143,"KANYA GURUKUL HS(AIDED), DHARAMKARAN ROAD","కన్యా గురుకుల్ ఉన్నత పాఠశాల (ఎయిడెడ్), ధరంకరణ్ రోడ్, అమీర్ పేట్  ",36050190175
144,"GOVT HS(B)CITYLADBAZAR, LADBAZAR","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) , సిటీ లాడ్ బజార్, బహదూర్‌పుర     ",36051191860
145,AHS JATARLA,"ఆశ్రమ ఉన్నత పాఠశాల, జాతర్ల",36011001307
146,AHS RASIMATTA,"ఆశ్రమ ఉన్నత పాఠశాల, రశ్మిమట్ట   ",36012700604
147,SRI SARASWATHI SHISU MAND,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, బజార్ హత్నూర్    ",36011002405
148,"BOSTON MISSION HSCHOOL, KALAPATHER","బోస్టన్ మిషన్ ఉన్నత పాఠశాల, కాలపథేర్, బహదూర్‌పుర       ",36051191895
149,BHARATHI V.N TM/EM,"భారతి విద్యానికేతన్ ప్రాథమిక పాఠశాల (తెలుగు,ఇంగ్లీష్ మీడియం), బీర్వెల్లి        ",36011301705
150,"MYTHRI VIDYA NIKETAN, AMBERPET","మైత్రి విద్యా నికేతన్ పాఠశాల, అంబర్‌పేట్ ",36050490794
151,GOUTHAM BUDHA VIDYA NIKET MANCHERIAL,"గౌతం బుద్ధ  విద్యానికేత్ ఉన్నత పాఠశాల, మంచిర్యాల్  ",36013390984
152,"HOLY CROSS ENGLISH MEDIUM, KHAIRATABAD (MANDAL)","హోలీ క్రాస్ ఇంగ్లీష్ మీడియం పాఠశాల, పి.ఆర్. నగర్, ఖైరతాబాద్ ",36050891214
153,"BHARATHI VIDYANIKETHAN, MAHALAXMINAGAR","భారతి విద్యానికేతన్ పాఠశాల, మహాలక్ష్మి నగర్, అసిఫ్ నగర్    ",36050991459
154,AHS (BOYS) SAYEEDPUR,"ఆశ్రమ ఉన్నత పాఠశాల, (బాలురు), సయీద్ పుర్  ",36010504304
155,"GOVT HS(B)URDUSHARIF, SHAHGUNJ","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు), ఉర్దూ షరీఫ్, షా గంజ్, బహదూర్‌పుర       ",36051191851
156,AHS WADAGAON,"ఆశ్రమ ఉన్నత పాఠశాల, వాడగాన్",36010703409
157,VIDYA BHARATHI P S TANDUR,"విద్యా భారతి ప్రాథమిక పాఠశాల, తాండూర్  ",36014101508
158,"GBES AMEERPET, BALKAMPET","గిబ్స్ ప్రాథమిక పాఠశాల, బల్కం పేట్, అమీర్ పేట్     ",36050190102
159,SRI BALAJI VIDYA MANDIR,"శ్రీ బాలాజీ విద్యా మందిర్ పాఠశాల, దస్నాపూర్ ",36010390539
160,PRAGATHI VIDYA NIKET,"ప్రగతి విద్యానికేతన్   ప్రాథమికోన్నత పాఠశాల, కుబీర్   ",36011501809
161,"GOVT PS(B) ALVAYATHIMA, BRAHMAN WADI","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు) అల్వాయతిమా, బ్రాహ్మణ్ వాడి , చార్మినార్     ",36051690137
162,"GOVT PS(B)GOSHAKUT, GOSHACUT,","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు) , గోషా కుట్      ",36050990148
163,SRI SARASWATHI GNANA VIDY,"శ్రీ సరస్వతి జ్ఞాన విద్యాలయం ఉన్నత పాఠశాల, ఆదిలాబాద్   ",36010395116
164,SRI RAJA RAJESHWARA HIGH,"శ్రీ రాజ రాజేశ్వర ఉన్నత పాఠశాల, పొంకల్      ",36013001514
165,"RAGHAVA EDUCATIONAL ACADA, SAPTAGIRI NAGAR","రాఘవ ఎడ్యుకేషనల్ అకాడమి, సప్తగిరి నగర్, అసిఫ్ నగర్       ",36050991503
