,English_corrected_title,telugu_corrected_title,School Code
0,"GOVT HS(G)TDSINGH, BANDLAGUDA","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు) టి డి సింగ్, బండ్లగూడ, హైదరాబాద్    ",36051292076
1,SRI SARASWATHI SHISHU MAN,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, ఆదిలాబాద్   ",36010390152
2,TSMS KUNTALA," తెలంగాణ  మోడల్ పాఠశాల, కుంటాల   ",36011401311
3,MATHRU SRI VIDYA MANDIR,"మాతృ శ్రీ విద్యా మందిర్ పాఠశాల, వాంకిడి కలాన్    ",36013801514
4,SRI S S MANDIR NARNOOR,"శ్రీ సరస్వతి శిశుమందిర్ పాఠశాల, నార్నూర్  ",36010603910
5,"IDARA E MILLIA, OLD MALAKPET","ఈదర ఎ మిల్లియా, ఓల్డ్ మలక్ పేట్, హైదరాబాద్  ",36050490169
6,"GOVT PS(B)FIRSTLANCER, FIRST LANCER","ప్రభుత్వ ప్రాథమిక  పాఠశాల (బాలురు) ఫస్ట్ లాన్సర్, ఆసిఫ్ నగర్, హైదరాబాద్    ",36050990137
7,"SRI RAGHAVENDRA UP.SCHOLL, WARASIGUDA","శ్రీ రాఘవేంద్ర ప్రాథమికోన్నత  పాఠశాల, వారసిగూడ",36051492319
8,"GOVT PS(B)MAREDPALLYEAST, OPP PADMASHALI KALYANA MANDEPA","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలురు) , పద్మశాలి కల్యాణ మండపం, మారేడ్ పల్లి ఈస్ట్, సికింద్రాబాద్    ",36050390201
9,"GOVT HS(B)SULTANSHAHI, NEAR LALAN SAB MOQUE","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు), సుల్తాన్ షాహి, లాలన్ సాబ్ మాస్క్, చార్మినార్     ",36051692641
10,ALHUDA U/M KHANAPUR,"అల్-హుడా  ఉర్దూ మీడియం పాఠశాల, ఖానాపూర్   ",36010395146
11,VIVEKANANDA V N KALLUR,"వివేకానంద విద్యానికేతన్ పాఠశాల, కల్లూర్   ",36011402303
12,"VIVEKANANDA UPPER PRIMARY, TIRUMALA NAGAR","వివేకానంద ప్రాథమికోన్నత పాఠశాల, తిరుమల నగర్, అంబర్ పేట్, హైదరాబాద్     ",36050490183
13,"MADARSA ARABIA ISLAMIA BAITUL ULOOM, KZNR","మదరసా అరేబియా ఇస్లామియా బైతుల్ ఉలూమ్ పాఠశాల, కాగజ్    ",36013995402
14,"GOVT PS(G) PATELNAGAR, AMBERPET","ప్రభుత్వ  ప్రాథమిక పాఠశాల, పటేల్ నగర్, అంబర్‌పేట, హైదరాబాద్    ",36050490109
15,"SRI AUROBINDU INTEGRAL HI, SRI AUROBINDA INTEGRAL HIGH","శ్రీ అరొబిందొ ఇంటెగ్రల్ ఉన్నత పాఠశాల, శ్రీ అరోబిందొ ఇంటెగ్రల్ ఉన్నత పాఠశాల, విద్యానగర్      ",36050490722
16,TSMS JAINAD," తెలంగాణ  మోడల్ పాఠశాల, జైనాడ్     ",36010404313
17,SRI VIVEKANANDA P TANOOR,"శ్రీ వివేకానంద ప్రాథమికోన్నత పాఠశాల, తానూర్   ",36011702412
18,"SRI KRISHNA VENI, HS , JANNARAM    ","శ్రీ కృష్ణవేణి ఉన్నత పాఠశాల, జన్నారం  ",36013001118
19,"ST D S M S AIDED, ST NO 8,TARNAKA","సెయింట్ డి. ఎస్.ఎం.ఎస్ ఎయిడెడ్ పాఠశాల, స్ట్రీట్ నెంబర్ 8,  తార్నాక, సికింద్రాబాద్      ",36050390613
20,"BHARATHI VIDYA NIKATAN, MAHALAXMINAGAR","భారతి  విద్యానికేతన్ పాఠశాల, మహాలక్ష్మి నగర్, ఆసిఫ్‌నగర్   ",36050991320
21,"NEW ROSARY CONVENT H, RIYASAT NAGAR","న్యూ రోజరీ కాన్వెంట్ ఉన్నత పాఠశాల, రియాసత్ నగర్, బండ్లగూడ, హైదరాబాద్     ",36051292140
22,AHS BAMBARA,"ఆశ్రమ ఉన్నత పాఠశాల, బంబర     ",36013800806
